,Drug ID,PDB ID
0,DB05383,1NSI
2,DB08814,1NSI
3,DB08814,1MDI
4,DB09092,1DJL
5,DB09092,3ERY
6,DB09092,1U8F
7,DB09092,2DFD
8,DB00619,1AB2
9,DB00619,1GQ5
10,DB00619,1PKG
11,DB00619,1K1F
12,DB01254,1AB2
13,DB01254,1GQ5
14,DB01254,1PKG
15,DB01254,1A07
16,DB01254,1A0N
17,DB01254,2HDA
18,DB01254,1MQB
19,DB01254,1BHF
20,DB01254,1K1F
22,DB06616,1AB2
23,DB06616,1A07
24,DB06616,1S9J
25,DB06616,1AD5
26,DB06616,2J51
27,DB06616,1W1F
28,DB06616,2UX0
29,DB06616,1S9I
30,DB06616,2CU1
31,DB06616,2LUL
32,DB08896,1AB2
33,DB08896,4BSJ
34,DB08896,1FLT
35,DB08896,1C1Y
36,DB08896,1GQ5
37,DB08896,1VR2
38,DB08896,1PKG
39,DB08896,1UWH
40,DB08896,1DJS
41,DB08896,1MQB
42,DB08896,1HE7
43,DB08896,1AGW
44,DB08896,1FVR
45,DB08896,3GC8
46,DB08896,2WUH
47,DB08901,1AB2
48,DB08901,1K1F
56,DB01239,4IB4
57,DB01239,3RZE
58,DB01239,3PBL
60,DB00398,4BSJ
61,DB00398,1FLT
62,DB00398,1C1Y
63,DB00398,1RJB
64,DB00398,1GQ5
65,DB00398,1VR2
66,DB00398,1PKG
67,DB00398,1UWH
68,DB00398,1AGW
69,DB01268,4BSJ
70,DB01268,1FLT
71,DB01268,1RJB
72,DB01268,1GQ5
73,DB01268,1VR2
74,DB01268,1PKG
75,DB01268,2I0V
76,DB06589,4BSJ
77,DB06589,1FLT
78,DB06589,1GQ5
79,DB06589,1VR2
80,DB06589,1PKG
81,DB06626,4BSJ
82,DB06626,1FLT
83,DB06626,1VR2
84,DB09078,4BSJ
85,DB09078,1FLT
86,DB09078,1GQ5
87,DB09078,1VR2
88,DB09078,1PKG
89,DB09078,1DJS
90,DB09078,1AGW
91,DB09078,1RY7
92,DB09079,4BSJ
93,DB09079,1FLT
94,DB09079,1GQ5
95,DB09079,1VR2
96,DB09079,1DJS
97,DB09079,1AGW
98,DB09079,1RY7
99,DB11679,4BSJ
100,DB11679,1FLT
101,DB11679,1VR2
102,DB11800,4BSJ
103,DB11800,1FLT
104,DB11800,1GQ5
105,DB11800,1VR2
106,DB11800,1PKG
107,DB08912,1C1Y
108,DB08912,1UWH
109,DB11718,1C1Y
110,DB11718,1UWH
111,DB11718,2W96
112,DB11718,1JNK
113,DB11718,3E7O
114,DB11718,1UKH
115,DB11718,3S95
116,DB11718,1X6A
117,DB11718,3ALN
125,DB00767,2CSA
126,DB00767,3RZE
141,DB09089,2CSA
142,DB09089,3BXK
143,DB09089,1T0J
144,DB09089,2K44
145,DB09089,2VAY
146,DB09089,1VYV
147,DB09089,3LV3
148,DB09089,1JO6
149,DB09167,2CSA
150,DB09167,1HLL
151,DB09167,3RZE
153,DB12278,2CSA
154,DB12278,1T0J
160,DB12598,1A2C
161,DB12598,1C5M
162,DB12598,1SPJ
163,DB12598,1FXY
164,DB12598,4BDW
165,DB12831,1A2C
166,DB12831,1B2I
167,DB12831,2ANW
169,DB00786,1GKC
170,DB00786,1CK7
171,DB00786,1AYK
172,DB00786,1EUB
173,DB00786,1B3D
174,DB00786,1A85
175,DB00786,1JIZ
176,DB00786,1RM8
177,DB00786,1Q3A
178,DB00786,1MMP
179,DB00786,1BQQ
180,DB00786,2JSD
181,DB00470,1LVQ
182,DB00470,2KI9
183,DB00486,1LVQ
184,DB00486,2KI9
188,DB11755,1LVQ
189,DB11755,3J9P
190,DB11755,2F37
192,DB01221,4D1N
193,DB01221,2MAW
194,DB09118,1I0Z
195,DB09118,1I10
196,DB09118,4COF
200,DB01393,1I7G
201,DB01393,1FM6
202,DB01393,1GWX
203,DB03756,1I7G
204,DB03756,1H9U
205,DB03756,1FM6
206,DB03756,1BY4
207,DB03756,2GL8
208,DB08915,1I7G
209,DB08915,1FM6
212,DB00210,1H9U
213,DB00210,1EXA
214,DB00210,1HRA
215,DB00210,1BY4
216,DB00210,2GL8
217,DB00210,1A02
218,DB00210,1FYW
219,DB00307,1H9U
220,DB00307,1BY4
221,DB00307,2GL8
222,DB00459,1H9U
223,DB00459,1EXA
224,DB00459,1HRA
225,DB00459,1BY4
226,DB00459,1DKF
227,DB00459,2GL8
228,DB00523,1H9U
229,DB00523,1EXA
230,DB00523,1HRA
231,DB00523,1BY4
232,DB00523,1DKF
233,DB00523,2GL8
234,DB00755,1H9U
235,DB00755,1EXA
236,DB00755,1HRA
237,DB00755,1DKF
238,DB00755,2GL8
239,DB00799,1H9U
240,DB00799,1EXA
241,DB00799,1HRA
242,DB00799,1DKF
243,DB00926,1H9U
244,DB00926,1EXA
245,DB00926,1HRA
246,DB00926,1BY4
247,DB00926,1DKF
248,DB00926,2GL8
250,DB00148,3B6R
251,DB00148,1QK1
252,DB00148,4Z9M
253,DB00148,3ORH
254,DB00148,1I0E
255,DB13191,3B6R
256,DB13191,1QK1
257,DB13191,4Z9M
258,DB13191,3ORH
259,DB13191,1I0E
260,DB00204,1BYW
261,DB00204,4TWK
262,DB00252,1BYW
263,DB00252,2KBI
264,DB00252,3BXK
265,DB00252,1T0J
266,DB00252,2KAV
267,DB00252,2VAY
268,DB00252,1VYV
269,DB00252,3LV3
270,DB00308,1BYW
271,DB00308,1T0J
272,DB00489,1BYW
273,DB00489,2LSQ
274,DB00489,1GQ4
275,DB01100,1BYW
276,DB01100,3PBL
277,DB01182,1BYW
278,DB01182,2KBI
284,DB00360,1M9J
285,DB00360,2XSN
286,DB00360,1DMW
287,DB00255,1A52
288,DB00255,1L2J
289,DB00255,1KV6
291,DB00304,1A52
292,DB00304,1A28
293,DB00367,1A52
294,DB00367,1A28
295,DB00481,1A52
296,DB00481,1L2J
298,DB00603,1A52
299,DB00603,1A28
301,DB00675,1A52
302,DB00675,1D2S
303,DB00675,1L2J
304,DB00675,2ELI
305,DB00675,2I0E
306,DB00675,1YRK
307,DB00675,2WH0
308,DB00675,2E73
309,DB00675,1VD2
310,DB00675,1XJD
311,DB00783,1A52
312,DB00783,1L2J
313,DB00823,1A52
314,DB00823,1A28
318,DB00957,1A52
319,DB00957,1A28
321,DB01108,1A52
322,DB01108,1L2J
323,DB01185,1A52
324,DB01185,1E3G
325,DB01196,1A52
326,DB01196,1L2J
328,DB01406,1A52
329,DB01406,1E3G
330,DB01406,1A28
335,DB06202,1A52
336,DB06202,1L2J
339,DB13952,1A52
340,DB13952,1L2J
341,DB13953,1A52
342,DB13953,1L2J
343,DB13954,1A52
344,DB13954,1L2J
345,DB13955,1A52
346,DB13955,1L2J
347,DB13956,1A52
348,DB13956,1L2J
359,DB01395,1E3G
360,DB01395,1A28
361,DB01395,1Y9R
373,DB09123,1E3G
374,DB09123,1A28
387,DB06137,3QNZ
388,DB06137,1A07
391,DB06595,1RJB
392,DB06595,1GQ5
393,DB06595,1VR2
394,DB06595,2ELI
395,DB11697,1RJB
396,DB11697,2B7A
397,DB12141,1RJB
398,DB12141,2KUP
399,DB12141,2C5D
400,DB12500,1RJB
401,DB12500,2B7A
403,DB00872,1YTV
404,DB00872,4JQI
410,DB00368,2LSQ
411,DB00368,1HLL
412,DB00368,1GQ4
413,DB00373,2LSQ
414,DB00373,1GQ4
415,DB00521,2LSQ
416,DB00521,1GQ4
418,DB00598,2LSQ
419,DB00598,1GQ4
421,DB00668,2LSQ
422,DB00668,1HLL
423,DB00668,1GQ4
425,DB00866,2LSQ
426,DB00866,1GQ4
427,DB00960,2LSQ
428,DB00960,1GQ4
429,DB01064,2LSQ
430,DB01064,1GQ4
435,DB01210,2LSQ
436,DB01210,1GQ4
437,DB01214,2LSQ
438,DB01214,1GQ4
441,DB01359,2LSQ
442,DB01359,1GQ4
443,DB01364,2LSQ
444,DB01364,1GQ4
446,DB04846,2LSQ
447,DB04846,1GQ4
449,DB06262,2LSQ
450,DB06262,1HLL
451,DB06262,1GQ4
452,DB08807,2LSQ
453,DB08807,1GQ4
455,DB09204,2LSQ
456,DB09204,1GQ4
458,DB11278,2LSQ
459,DB11278,1HLL
460,DB11278,1GQ4
463,DB00277,1RKP
464,DB00277,1F0J
465,DB00277,2QYK
466,DB00277,3MAX
469,DB00975,1RKP
470,DB00975,2QYK
476,DB01536,1A27
477,DB01536,1RY0
490,DB00909,2KBI
491,DB00909,2KAV
492,DB00909,4L1D
493,DB00909,4MZ2
500,DB06217,2KBI
501,DB06217,1S1G
502,DB01280,1X9N
503,DB01280,2WGH
504,DB01280,1K0P
505,DB01280,4BPU
506,DB14840,1GQ5
507,DB14840,1VR2
508,DB14840,1PKG
509,DB14840,1UWH
510,DB14840,1FVR
511,DB04942,1HRA
512,DB04942,1DKF
513,DB00513,1B2I
514,DB00513,1A5H
515,DB00159,1FM6
516,DB00159,4PHU
517,DB00159,1GWX
518,DB00159,1FDQ
530,DB00659,4MQE
531,DB00659,2HQW
532,DB00659,3NFL
533,DB00659,3LMK
535,DB01956,4MQE
536,DB01956,5CFB
537,DB01956,4COF
538,DB08891,4MQE
539,DB08891,4F11
540,DB08892,4MQE
541,DB08892,4F11
557,DB01213,1HSO
558,DB01213,1DEH
